ID	INDIVIDUAL_ID	PLATE_ID	WELL_ID	DATE	REGION	REEF	ZONING	Ysite	Xsite	Yind	Xind	SPECIES	LIFE_STAGE	FL	TL
Plec03_G10	T25281	Plec_03	G10	22/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9733	-23.19955	P. maculatus	Adult	322	342
Plec30_G02	P.Ad-01315	Plec_30	G02	19/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.1982	150.9736	P. maculatus	Adult	324	345
Plec03_D06	T26423	Plec_03	D06	27/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.97405	-23.19748333	P. maculatus	Adult	325	350
Plec05_G07	T01023	Plec_05	G07	22/11/07	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.9824333	-23.1893	P. maculatus	Adult	325	345
Plec04_A01	BP_001	Plec_04	A01	25/02/09	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.19863	150.96652	P. maculatus	Adult	326	NA
Plec01_G10	T00802	Plec_01	G10	20/11/07	Keppel Islands	Middle Is	MPZ	-23.17	150.92	NA	NA	P. maculatus	Adult	327	345
Plec05_G01	T01022	Plec_05	G01	22/11/07	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.9824333	-23.1893	P. maculatus	Adult	327	347
Plec01_H06	T32143	Plec_01	H06	31/01/08	Keppel Islands	Middle Is	MPZ	-23.17	150.92	150.9247	-23.16761667	P. maculatus	Adult	328	350
Plec03_E01	T16445	Plec_03	E01	30/11/07	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9731333	-23.20185	P. maculatus	Adult	332	350
Plec05_A11	T26990	Plec_05	A11	2/02/08	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.9768333	-23.1873	P. maculatus	Adult	333	355
Plec01_H02	T26105	Plec_01	H02	25/01/08	Keppel Islands	Middle Is	MPZ	-23.17	150.92	150.9138333	-23.16235	P. maculatus	Adult	334	350
Plec03_F12	T25996	Plec_03	F12	27/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.97285	-23.2011	P. maculatus	Adult	335	349
Plec05_A09	T33338	Plec_05	A09	1/02/08	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.98035	-23.18868333	P. maculatus	Adult	335	354
Plec05_F03	T26684	Plec_05	F03	31/01/08	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.9706833	-23.19066667	P. maculatus	Adult	335	360
Plec01_C08	T33220	Plec_01	C08	30/01/08	Keppel Islands	Middle Is	MPZ	-23.17	150.92	150.9137833	-23.1621	P. maculatus	Adult	337	359
Plec29_H05	P.Ad-01212	Plec_29	H05	19/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1635	150.9237	P. maculatus	Adult	340	355
Plec05_D01	T01054	Plec_05	D01	22/11/07	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.9801833	-23.19026667	P. maculatus	Adult	340	355
Plec31_B10	P.Ad-01358	Plec_31	B10	22/05/12	Keppel Islands	Miall Is	HPZ	-23.15	150.9	-23.1498	150.9009	P. maculatus	Adult	344	366
Plec01_E03	T26244	Plec_01	E03	30/01/08	Keppel Islands	Middle Is	MPZ	-23.17	150.92	150.9263	-23.16843333	P. maculatus	Adult	344	366
Plec46_A12	P.Ad-01709	Plec_46	A12	3/06/12	Keppel Islands	Wyndham Cove	HPZ	-23.19	150.96	-23.1931	150.962	P. maculatus	Adult	345	365
Plec30_G06	P.Ad-01319	Plec_30	G06	21/05/12	Keppel Islands	Miall Is	HPZ	-23.15	150.9	-23.1806	150.9343	P. maculatus	Adult	346	365
Plec05_G04	T16586	Plec_05	G04	30/11/07	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	NA	NA	P. maculatus	Adult	346	366
Plec05_A02	T26200	Plec_05	A02	28/01/08	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.9821333	-23.18898333	P. maculatus	Adult	348	361
