Title:,"Time Series, Area-Averaged of Sea Surface Temperature at 11 microns (Night) 8-daily 4 km [MODIS-Aqua ()"
User Start Date:,2002-07-04T00:00:00Z
User End Date:,2022-06-01T23:59:59Z
User Bounding Box:,"150.9219,-23.2471,150.9563,-23.2086"
Data Bounding Box:,"150.938,-23.2292,150.938,-23.2292"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-07-04T00:00:00Z&endtime=2022-06-01T23:59:59Z&bbox=150.9219,-23.2471,150.9563,-23.2086&data=MODISA_L3m_NSST_8d_4km_R2019_0_sst&portal=GIOVANNI&format=json"
Fill Value (mean_MODISA_L3m_NSST_8d_4km_R2019_0_sst):, -32767

time, mean_MODISA_L3m_NSST_8d_4km_R2019_0_sst
2014-09-21 12:10:01,21.414999
2014-10-07 12:10:01,22.9349995
2014-10-15 12:20:00,22.9549999
2014-10-23 12:10:01,23.4449997
2014-10-31 12:20:00,24.6849995
2014-11-08 12:10:01,24.8249989
2014-11-16 12:20:01,25.5499992
2014-11-24 12:10:01,26.7600002
2014-12-02 12:20:01,26.0649986
2014-12-10 12:10:01,26.5499992
2014-12-18 12:20:01,27.125
2014-12-26 12:10:00,28.5699997
2014-12-31 12:25:00,29.3499985
2015-01-08 12:40:00,27.5949993
2015-01-16 12:25:01,28.2049999
2015-01-24 12:40:00,28.4899998
2015-02-01 12:25:01,27.914999
2015-02-09 12:40:01,26.0849991
2015-02-17 12:25:01,26.8249989
2015-02-25 12:40:01,27.0450001
2015-03-05 12:25:01,27.9300003
2015-03-13 12:40:01,27.1499996
2015-03-21 12:25:01,27.7950001
2015-03-29 12:40:01,27.5450001
2015-04-06 12:25:01,27.1199989
2015-04-14 12:45:00,25.4849987
2015-04-22 12:25:01,24.6049995
2015-04-30 13:00:01,23.9300003
2015-05-08 12:25:01,23.289999
2015-05-16 13:00:01,21.9300003
2015-05-24 12:25:01,21.7349987
2015-06-01 13:00:01,21.6499996
2015-06-09 12:25:01,20.7649994
2015-06-17 13:00:01,21.0949993
2015-06-25 12:25:01,20.4799995
2015-07-03 13:00:00,20.0200005
2015-07-11 12:25:01,19.7150002
2015-07-19 13:00:00,19.5349998
2015-07-27 12:25:01,19.5100002
2015-08-04 13:00:00,19.6199989
2015-08-20 13:00:00,20.6700001
2015-08-28 12:25:01,21.6800003
2015-09-05 12:40:01,21.5499992
2015-09-13 12:25:01,21.3099995
2015-09-21 12:40:01,21.7700005
2015-09-29 12:25:01,22.2399998
2015-10-07 12:40:01,22.4449997
2015-10-15 12:25:01,22.3699989
2015-10-23 12:40:01,24.2399998
2015-10-31 12:25:01,24.9349995
2015-11-08 12:40:01,25.0100002
2015-11-16 12:25:01,25.6999989
2015-11-24 12:40:01,26.9499989
2015-12-02 12:25:00,26.3149986
2015-12-10 12:40:01,27.164999
2015-12-18 12:25:00,26.7849998
2015-12-26 12:40:00,26.7199993
2015-12-31 12:00:01,27.2249985
2016-01-08 12:10:01,27.1899986
2016-01-16 12:00:01,27.2999992
2016-01-24 12:10:01,26.7049999
2016-02-01 12:00:01,28.5799999
2016-02-09 12:10:01,27.1999989
2016-02-17 12:00:01,28.0799999
2016-02-25 12:10:01,27.1849995
2016-03-04 12:00:01,-32767
2016-03-12 12:10:01,26.7799988
2016-03-20 12:00:01,27.4200001
2016-03-28 12:10:01,27.2549992
2016-04-05 12:00:01,26.3099995
2016-04-13 12:40:00,25.9049988
2016-04-21 12:00:01,25.0949993
2016-04-29 12:40:00,25.4200001
2016-05-07 12:00:01,24.7849998
2016-05-15 12:40:00,23.9949989
2016-05-23 12:00:01,24.1399994
2016-05-31 12:40:00,22.4650002
2016-06-08 12:00:01,22.0649986
2016-06-16 12:40:00,21.6149998
2016-06-24 12:00:01,21.0100002
2016-07-02 12:40:01,20.8149986
2016-07-10 12:00:01,20.3099995
2016-07-18 12:40:01,20.2199993
2016-07-26 12:00:01,20.2349987
2016-08-03 12:40:01,19.8500004
2016-08-11 12:00:01,19.9300003
2016-08-19 12:40:01,19.9849987
2016-08-27 12:00:01,20.5049992
2016-09-04 12:10:00,20.8149986
2016-09-12 13:00:00,21.4849987
2016-09-20 12:10:00,22.9699993
2016-09-28 12:00:01,23.3050003
2016-10-06 12:10:00,23.6199989
2016-10-14 12:00:01,23.9650002
2016-10-22 12:10:00,24.1000004
2016-10-30 12:00:01,24.8400002
